ID,Image1,Image2,Type
98,3__M_Left_ring_finger.BMP,3__M_Left_index_finger.BMP,1
99,3__M_Left_ring_finger.BMP,3__M_Right_index_finger.BMP,1
100,3__M_Right_ring_finger.BMP,3__M_Left_thumb_finger.BMP,1
101,3__M_Right_ring_finger.BMP,3__M_Right_thumb_finger.BMP,1
102,3__M_Right_ring_finger.BMP,3__M_Left_middle_finger.BMP,1
103,3__M_Right_ring_finger.BMP,3__M_Right_middle_finger.BMP,1
104,3__M_Right_ring_finger.BMP,3__M_Left_little_finger.BMP,1
105,3__M_Right_ring_finger.BMP,3__M_Right_little_finger.BMP,1
106,3__M_Right_ring_finger.BMP,3__M_Left_index_finger.BMP,1
107,3__M_Right_ring_finger.BMP,3__M_Right_index_finger.BMP,1
108,3__M_Left_thumb_finger.BMP,3__M_Right_thumb_finger.BMP,1
109,3__M_Left_thumb_finger.BMP,3__M_Left_middle_finger.BMP,1
110,3__M_Left_thumb_finger.BMP,3__M_Right_middle_finger.BMP,1
111,3__M_Left_thumb_finger.BMP,3__M_Left_little_finger.BMP,1
112,3__M_Left_thumb_finger.BMP,3__M_Right_little_finger.BMP,1
113,3__M_Left_thumb_finger.BMP,3__M_Left_index_finger.BMP,1
114,3__M_Left_thumb_finger.BMP,3__M_Right_index_finger.BMP,1
115,3__M_Right_thumb_finger.BMP,3__M_Left_middle_finger.BMP,1
116,3__M_Right_thumb_finger.BMP,3__M_Right_middle_finger.BMP,1
117,3__M_Right_thumb_finger.BMP,3__M_Left_little_finger.BMP,1
118,3__M_Right_thumb_finger.BMP,3__M_Right_little_finger.BMP,1
119,3__M_Right_thumb_finger.BMP,3__M_Left_index_finger.BMP,1
120,3__M_Right_thumb_finger.BMP,3__M_Right_index_finger.BMP,1
121,3__M_Left_middle_finger.BMP,3__M_Right_middle_finger.BMP,1
122,3__M_Left_middle_finger.BMP,3__M_Left_little_finger.BMP,1
123,3__M_Left_middle_finger.BMP,3__M_Right_little_finger.BMP,1
124,3__M_Left_middle_finger.BMP,3__M_Left_index_finger.BMP,1
125,3__M_Left_middle_finger.BMP,3__M_Right_index_finger.BMP,1
126,3__M_Right_middle_finger.BMP,3__M_Left_little_finger.BMP,1
127,3__M_Right_middle_finger.BMP,3__M_Right_little_finger.BMP,1
128,3__M_Right_middle_finger.BMP,3__M_Left_index_finger.BMP,1
129,3__M_Right_middle_finger.BMP,3__M_Right_index_finger.BMP,1
130,3__M_Left_little_finger.BMP,3__M_Right_little_finger.BMP,1
131,3__M_Left_little_finger.BMP,3__M_Left_index_finger.BMP,1
132,3__M_Left_little_finger.BMP,3__M_Right_index_finger.BMP,1
133,3__M_Right_little_finger.BMP,3__M_Left_index_finger.BMP,1
134,3__M_Right_little_finger.BMP,3__M_Right_index_finger.BMP,1
135,3__M_Left_index_finger.BMP,3__M_Right_index_finger.BMP,1
136,4__M_Left_ring_finger.BMP,4__M_Right_ring_finger.BMP,1
137,4__M_Left_ring_finger.BMP,4__M_Left_thumb_finger.BMP,1
138,4__M_Left_ring_finger.BMP,4__M_Right_thumb_finger.BMP,1
139,4__M_Left_ring_finger.BMP,4__M_Left_middle_finger.BMP,1
140,4__M_Left_ring_finger.BMP,4__M_Right_middle_finger.BMP,1
141,4__M_Left_ring_finger.BMP,4__M_Left_little_finger.BMP,1
142,4__M_Left_ring_finger.BMP,4__M_Right_little_finger.BMP,1
143,4__M_Left_ring_finger.BMP,4__M_Left_index_finger.BMP,1
144,4__M_Left_ring_finger.BMP,4__M_Right_index_finger.BMP,1
145,4__M_Right_ring_finger.BMP,4__M_Left_thumb_finger.BMP,1
146,4__M_Right_ring_finger.BMP,4__M_Right_thumb_finger.BMP,1
147,4__M_Right_ring_finger.BMP,4__M_Left_middle_finger.BMP,1
148,4__M_Right_ring_finger.BMP,4__M_Right_middle_finger.BMP,1
149,4__M_Right_ring_finger.BMP,4__M_Left_little_finger.BMP,1
150,4__M_Right_ring_finger.BMP,4__M_Right_little_finger.BMP,1
151,4__M_Right_ring_finger.BMP,4__M_Left_index_finger.BMP,1
152,4__M_Right_ring_finger.BMP,4__M_Right_index_finger.BMP,1
153,4__M_Left_thumb_finger.BMP,4__M_Right_thumb_finger.BMP,1
154,4__M_Left_thumb_finger.BMP,4__M_Left_middle_finger.BMP,1
155,4__M_Left_thumb_finger.BMP,4__M_Right_middle_finger.BMP,1
156,4__M_Left_thumb_finger.BMP,4__M_Left_little_finger.BMP,1
157,4__M_Left_thumb_finger.BMP,4__M_Right_little_finger.BMP,1
158,4__M_Left_thumb_finger.BMP,4__M_Left_index_finger.BMP,1
159,4__M_Left_thumb_finger.BMP,4__M_Right_index_finger.BMP,1
160,4__M_Right_thumb_finger.BMP,4__M_Left_middle_finger.BMP,1
161,4__M_Right_thumb_finger.BMP,4__M_Right_middle_finger.BMP,1
162,4__M_Right_thumb_finger.BMP,4__M_Left_little_finger.BMP,1
163,4__M_Right_thumb_finger.BMP,4__M_Right_little_finger.BMP,1
164,4__M_Right_thumb_finger.BMP,4__M_Left_index_finger.BMP,1
165,4__M_Right_thumb_finger.BMP,4__M_Right_index_finger.BMP,1
166,4__M_Left_middle_finger.BMP,4__M_Right_middle_finger.BMP,1
167,4__M_Left_middle_finger.BMP,4__M_Left_little_finger.BMP,1
168,4__M_Left_middle_finger.BMP,4__M_Right_little_finger.BMP,1
169,4__M_Left_middle_finger.BMP,4__M_Left_index_finger.BMP,1
170,4__M_Left_middle_finger.BMP,4__M_Right_index_finger.BMP,1
171,4__M_Right_middle_finger.BMP,4__M_Left_little_finger.BMP,1
172,4__M_Right_middle_finger.BMP,4__M_Right_little_finger.BMP,1
173,4__M_Right_middle_finger.BMP,4__M_Left_index_finger.BMP,1
174,4__M_Right_middle_finger.BMP,4__M_Right_index_finger.BMP,1
175,4__M_Left_little_finger.BMP,4__M_Right_little_finger.BMP,1
176,4__M_Left_little_finger.BMP,4__M_Left_index_finger.BMP,1
177,4__M_Left_little_finger.BMP,4__M_Right_index_finger.BMP,1
178,4__M_Right_little_finger.BMP,4__M_Left_index_finger.BMP,1
179,4__M_Right_little_finger.BMP,4__M_Right_index_finger.BMP,1
180,4__M_Left_index_finger.BMP,4__M_Right_index_finger.BMP,1
181,5__M_Left_ring_finger.BMP,5__M_Right_ring_finger.BMP,1
182,5__M_Left_ring_finger.BMP,5__M_Left_thumb_finger.BMP,1
183,5__M_Left_ring_finger.BMP,5__M_Right_thumb_finger.BMP,1
184,5__M_Left_ring_finger.BMP,5__M_Left_middle_finger.BMP,1
185,5__M_Left_ring_finger.BMP,5__M_Right_middle_finger.BMP,1
186,5__M_Left_ring_finger.BMP,5__M_Left_little_finger.BMP,1
187,5__M_Left_ring_finger.BMP,5__M_Right_little_finger.BMP,1
188,5__M_Left_ring_finger.BMP,5__M_Left_index_finger.BMP,1
189,5__M_Left_ring_finger.BMP,5__M_Right_index_finger.BMP,1
190,5__M_Right_ring_finger.BMP,5__M_Left_thumb_finger.BMP,1
191,5__M_Right_ring_finger.BMP,5__M_Right_thumb_finger.BMP,1
192,5__M_Right_ring_finger.BMP,5__M_Left_middle_finger.BMP,1
193,5__M_Right_ring_finger.BMP,5__M_Right_middle_finger.BMP,1
194,5__M_Right_ring_finger.BMP,5__M_Left_little_finger.BMP,1
195,5__M_Right_ring_finger.BMP,5__M_Right_little_finger.BMP,1
196,5__M_Right_ring_finger.BMP,5__M_Left_index_finger.BMP,1
197,5__M_Right_ring_finger.BMP,5__M_Right_index_finger.BMP,1
198,5__M_Left_thumb_finger.BMP,5__M_Right_thumb_finger.BMP,1
199,5__M_Left_thumb_finger.BMP,5__M_Left_middle_finger.BMP,1
200,5__M_Left_thumb_finger.BMP,5__M_Right_middle_finger.BMP,1
201,5__M_Left_thumb_finger.BMP,5__M_Left_little_finger.BMP,1
202,5__M_Left_thumb_finger.BMP,5__M_Right_little_finger.BMP,1
203,5__M_Left_thumb_finger.BMP,5__M_Left_index_finger.BMP,1
204,5__M_Left_thumb_finger.BMP,5__M_Right_index_finger.BMP,1
205,5__M_Right_thumb_finger.BMP,5__M_Left_middle_finger.BMP,1
206,5__M_Right_thumb_finger.BMP,5__M_Right_middle_finger.BMP,1
207,5__M_Right_thumb_finger.BMP,5__M_Left_little_finger.BMP,1
208,5__M_Right_thumb_finger.BMP,5__M_Right_little_finger.BMP,1
209,5__M_Right_thumb_finger.BMP,5__M_Left_index_finger.BMP,1
210,5__M_Right_thumb_finger.BMP,5__M_Right_index_finger.BMP,1
211,5__M_Left_middle_finger.BMP,5__M_Right_middle_finger.BMP,1
212,5__M_Left_middle_finger.BMP,5__M_Left_little_finger.BMP,1
213,5__M_Left_middle_finger.BMP,5__M_Right_little_finger.BMP,1
214,5__M_Left_middle_finger.BMP,5__M_Left_index_finger.BMP,1
215,5__M_Left_middle_finger.BMP,5__M_Right_index_finger.BMP,1
216,5__M_Right_middle_finger.BMP,5__M_Left_little_finger.BMP,1
217,5__M_Right_middle_finger.BMP,5__M_Right_little_finger.BMP,1
218,5__M_Right_middle_finger.BMP,5__M_Left_index_finger.BMP,1
219,5__M_Right_middle_finger.BMP,5__M_Right_index_finger.BMP,1
220,5__M_Left_little_finger.BMP,5__M_Right_little_finger.BMP,1
221,5__M_Left_little_finger.BMP,5__M_Left_index_finger.BMP,1
222,5__M_Left_little_finger.BMP,5__M_Right_index_finger.BMP,1
223,5__M_Right_little_finger.BMP,5__M_Left_index_finger.BMP,1
224,5__M_Right_little_finger.BMP,5__M_Right_index_finger.BMP,1
225,5__M_Left_index_finger.BMP,5__M_Right_index_finger.BMP,1
226,6__M_Left_ring_finger.BMP,6__M_Right_ring_finger.BMP,1
227,6__M_Left_ring_finger.BMP,6__M_Left_thumb_finger.BMP,1
228,6__M_Left_ring_finger.BMP,6__M_Right_thumb_finger.BMP,1
229,6__M_Left_ring_finger.BMP,6__M_Left_middle_finger.BMP,1
230,6__M_Left_ring_finger.BMP,6__M_Right_middle_finger.BMP,1
231,6__M_Left_ring_finger.BMP,6__M_Left_little_finger.BMP,1
232,6__M_Left_ring_finger.BMP,6__M_Right_little_finger.BMP,1
233,6__M_Left_ring_finger.BMP,6__M_Left_index_finger.BMP,1
234,6__M_Left_ring_finger.BMP,6__M_Right_index_finger.BMP,1
235,6__M_Right_ring_finger.BMP,6__M_Left_thumb_finger.BMP,1
236,6__M_Right_ring_finger.BMP,6__M_Right_thumb_finger.BMP,1
237,6__M_Right_ring_finger.BMP,6__M_Left_middle_finger.BMP,1
238,6__M_Right_ring_finger.BMP,6__M_Right_middle_finger.BMP,1
239,6__M_Right_ring_finger.BMP,6__M_Left_little_finger.BMP,1
240,6__M_Right_ring_finger.BMP,6__M_Right_little_finger.BMP,1
241,6__M_Right_ring_finger.BMP,6__M_Left_index_finger.BMP,1
242,6__M_Right_ring_finger.BMP,6__M_Right_index_finger.BMP,1
243,6__M_Left_thumb_finger.BMP,6__M_Right_thumb_finger.BMP,1
244,6__M_Left_thumb_finger.BMP,6__M_Left_middle_finger.BMP,1
245,6__M_Left_thumb_finger.BMP,6__M_Right_middle_finger.BMP,1
246,6__M_Left_thumb_finger.BMP,6__M_Left_little_finger.BMP,1
247,6__M_Left_thumb_finger.BMP,6__M_Right_little_finger.BMP,1
248,6__M_Left_thumb_finger.BMP,6__M_Left_index_finger.BMP,1
249,6__M_Left_thumb_finger.BMP,6__M_Right_index_finger.BMP,1
250,6__M_Right_thumb_finger.BMP,6__M_Left_middle_finger.BMP,1
251,6__M_Right_thumb_finger.BMP,6__M_Right_middle_finger.BMP,1
252,6__M_Right_thumb_finger.BMP,6__M_Left_little_finger.BMP,1
253,6__M_Right_thumb_finger.BMP,6__M_Right_little_finger.BMP,1
254,6__M_Right_thumb_finger.BMP,6__M_Left_index_finger.BMP,1
255,6__M_Right_thumb_finger.BMP,6__M_Right_index_finger.BMP,1
256,6__M_Left_middle_finger.BMP,6__M_Right_middle_finger.BMP,1
257,6__M_Left_middle_finger.BMP,6__M_Left_little_finger.BMP,1
258,6__M_Left_middle_finger.BMP,6__M_Right_little_finger.BMP,1
259,6__M_Left_middle_finger.BMP,6__M_Left_index_finger.BMP,1
260,6__M_Left_middle_finger.BMP,6__M_Right_index_finger.BMP,1
261,6__M_Right_middle_finger.BMP,6__M_Left_little_finger.BMP,1
262,6__M_Right_middle_finger.BMP,6__M_Right_little_finger.BMP,1
263,6__M_Right_middle_finger.BMP,6__M_Left_index_finger.BMP,1
264,6__M_Right_middle_finger.BMP,6__M_Right_index_finger.BMP,1
265,6__M_Left_little_finger.BMP,6__M_Right_little_finger.BMP,1
266,6__M_Left_little_finger.BMP,6__M_Left_index_finger.BMP,1
267,6__M_Left_little_finger.BMP,6__M_Right_index_finger.BMP,1
268,6__M_Right_little_finger.BMP,6__M_Left_index_finger.BMP,1
269,6__M_Right_little_finger.BMP,6__M_Right_index_finger.BMP,1
270,6__M_Left_index_finger.BMP,6__M_Right_index_finger.BMP,1
271,7__M_Left_ring_finger.BMP,7__M_Right_ring_finger.BMP,1
272,7__M_Left_ring_finger.BMP,7__M_Left_thumb_finger.BMP,1
273,7__M_Left_ring_finger.BMP,7__M_Right_thumb_finger.BMP,1
274,7__M_Left_ring_finger.BMP,7__M_Left_middle_finger.BMP,1
275,7__M_Left_ring_finger.BMP,7__M_Right_middle_finger.BMP,1
276,7__M_Left_ring_finger.BMP,7__M_Left_little_finger.BMP,1
277,7__M_Left_ring_finger.BMP,7__M_Right_little_finger.BMP,1
278,7__M_Left_ring_finger.BMP,7__M_Left_index_finger.BMP,1
279,7__M_Left_ring_finger.BMP,7__M_Right_index_finger.BMP,1
280,7__M_Right_ring_finger.BMP,7__M_Left_thumb_finger.BMP,1
281,7__M_Right_ring_finger.BMP,7__M_Right_thumb_finger.BMP,1
282,7__M_Right_ring_finger.BMP,7__M_Left_middle_finger.BMP,1
283,7__M_Right_ring_finger.BMP,7__M_Right_middle_finger.BMP,1
284,7__M_Right_ring_finger.BMP,7__M_Left_little_finger.BMP,1
285,7__M_Right_ring_finger.BMP,7__M_Right_little_finger.BMP,1
286,7__M_Right_ring_finger.BMP,7__M_Left_index_finger.BMP,1
287,7__M_Right_ring_finger.BMP,7__M_Right_index_finger.BMP,1
288,7__M_Left_thumb_finger.BMP,7__M_Right_thumb_finger.BMP,1
289,7__M_Left_thumb_finger.BMP,7__M_Left_middle_finger.BMP,1
290,7__M_Left_thumb_finger.BMP,7__M_Right_middle_finger.BMP,1
291,7__M_Left_thumb_finger.BMP,7__M_Left_little_finger.BMP,1
292,7__M_Left_thumb_finger.BMP,7__M_Right_little_finger.BMP,1
293,7__M_Left_thumb_finger.BMP,7__M_Left_index_finger.BMP,1
294,7__M_Left_thumb_finger.BMP,7__M_Right_index_finger.BMP,1
295,7__M_Right_thumb_finger.BMP,7__M_Left_middle_finger.BMP,1
296,7__M_Right_thumb_finger.BMP,7__M_Right_middle_finger.BMP,1
297,7__M_Right_thumb_finger.BMP,7__M_Left_little_finger.BMP,1
298,7__M_Right_thumb_finger.BMP,7__M_Right_little_finger.BMP,1
299,7__M_Right_thumb_finger.BMP,7__M_Left_index_finger.BMP,1
300,7__M_Right_thumb_finger.BMP,7__M_Right_index_finger.BMP,1
301,7__M_Left_middle_finger.BMP,7__M_Right_middle_finger.BMP,1
302,7__M_Left_middle_finger.BMP,7__M_Left_little_finger.BMP,1
303,7__M_Left_middle_finger.BMP,7__M_Right_little_finger.BMP,1
304,7__M_Left_middle_finger.BMP,7__M_Left_index_finger.BMP,1
305,7__M_Left_middle_finger.BMP,7__M_Right_index_finger.BMP,1
306,7__M_Right_middle_finger.BMP,7__M_Left_little_finger.BMP,1
307,7__M_Right_middle_finger.BMP,7__M_Right_little_finger.BMP,1
308,7__M_Right_middle_finger.BMP,7__M_Left_index_finger.BMP,1
309,7__M_Right_middle_finger.BMP,7__M_Right_index_finger.BMP,1
310,7__M_Left_little_finger.BMP,7__M_Right_little_finger.BMP,1
311,7__M_Left_little_finger.BMP,7__M_Left_index_finger.BMP,1
312,7__M_Left_little_finger.BMP,7__M_Right_index_finger.BMP,1
313,7__M_Right_little_finger.BMP,7__M_Left_index_finger.BMP,1
314,7__M_Right_little_finger.BMP,7__M_Right_index_finger.BMP,1
315,7__M_Left_index_finger.BMP,7__M_Right_index_finger.BMP,1
316,8__M_Left_ring_finger.BMP,8__M_Right_ring_finger.BMP,1
317,8__M_Left_ring_finger.BMP,8__M_Left_thumb_finger.BMP,1
318,8__M_Left_ring_finger.BMP,8__M_Right_thumb_finger.BMP,1
319,8__M_Left_ring_finger.BMP,8__M_Left_middle_finger.BMP,1
320,8__M_Left_ring_finger.BMP,8__M_Right_middle_finger.BMP,1
321,8__M_Left_ring_finger.BMP,8__M_Left_little_finger.BMP,1
322,8__M_Left_ring_finger.BMP,8__M_Right_little_finger.BMP,1
323,8__M_Left_ring_finger.BMP,8__M_Left_index_finger.BMP,1
324,8__M_Left_ring_finger.BMP,8__M_Right_index_finger.BMP,1
325,8__M_Right_ring_finger.BMP,8__M_Left_thumb_finger.BMP,1
326,8__M_Right_ring_finger.BMP,8__M_Right_thumb_finger.BMP,1
327,8__M_Right_ring_finger.BMP,8__M_Left_middle_finger.BMP,1
328,8__M_Right_ring_finger.BMP,8__M_Right_middle_finger.BMP,1
329,8__M_Right_ring_finger.BMP,8__M_Left_little_finger.BMP,1
330,8__M_Right_ring_finger.BMP,8__M_Right_little_finger.BMP,1
331,8__M_Right_ring_finger.BMP,8__M_Left_index_finger.BMP,1
332,8__M_Right_ring_finger.BMP,8__M_Right_index_finger.BMP,1
333,8__M_Left_thumb_finger.BMP,8__M_Right_thumb_finger.BMP,1
334,8__M_Left_thumb_finger.BMP,8__M_Left_middle_finger.BMP,1
335,8__M_Left_thumb_finger.BMP,8__M_Right_middle_finger.BMP,1
336,8__M_Left_thumb_finger.BMP,8__M_Left_little_finger.BMP,1
337,8__M_Left_thumb_finger.BMP,8__M_Right_little_finger.BMP,1
338,8__M_Left_thumb_finger.BMP,8__M_Left_index_finger.BMP,1
339,8__M_Left_thumb_finger.BMP,8__M_Right_index_finger.BMP,1
340,8__M_Right_thumb_finger.BMP,8__M_Left_middle_finger.BMP,1
341,8__M_Right_thumb_finger.BMP,8__M_Right_middle_finger.BMP,1
342,8__M_Right_thumb_finger.BMP,8__M_Left_little_finger.BMP,1
343,8__M_Right_thumb_finger.BMP,8__M_Right_little_finger.BMP,1
344,8__M_Right_thumb_finger.BMP,8__M_Left_index_finger.BMP,1
345,8__M_Right_thumb_finger.BMP,8__M_Right_index_finger.BMP,1
346,8__M_Left_middle_finger.BMP,8__M_Right_middle_finger.BMP,1
347,8__M_Left_middle_finger.BMP,8__M_Left_little_finger.BMP,1
348,8__M_Left_middle_finger.BMP,8__M_Right_little_finger.BMP,1
349,8__M_Left_middle_finger.BMP,8__M_Left_index_finger.BMP,1
350,8__M_Left_middle_finger.BMP,8__M_Right_index_finger.BMP,1
351,8__M_Right_middle_finger.BMP,8__M_Left_little_finger.BMP,1
352,8__M_Right_middle_finger.BMP,8__M_Right_little_finger.BMP,1
353,8__M_Right_middle_finger.BMP,8__M_Left_index_finger.BMP,1
354,8__M_Right_middle_finger.BMP,8__M_Right_index_finger.BMP,1
355,8__M_Left_little_finger.BMP,8__M_Right_little_finger.BMP,1
356,8__M_Left_little_finger.BMP,8__M_Left_index_finger.BMP,1
357,8__M_Left_little_finger.BMP,8__M_Right_index_finger.BMP,1
358,8__M_Right_little_finger.BMP,8__M_Left_index_finger.BMP,1
359,8__M_Right_little_finger.BMP,8__M_Right_index_finger.BMP,1
360,8__M_Left_index_finger.BMP,8__M_Right_index_finger.BMP,1
361,9__M_Left_ring_finger.BMP,9__M_Right_ring_finger.BMP,1
362,9__M_Left_ring_finger.BMP,9__M_Left_thumb_finger.BMP,1
363,9__M_Left_ring_finger.BMP,9__M_Right_thumb_finger.BMP,1
364,9__M_Left_ring_finger.BMP,9__M_Left_middle_finger.BMP,1
365,9__M_Left_ring_finger.BMP,9__M_Right_middle_finger.BMP,1
366,9__M_Left_ring_finger.BMP,9__M_Left_little_finger.BMP,1
367,9__M_Left_ring_finger.BMP,9__M_Right_little_finger.BMP,1
368,9__M_Left_ring_finger.BMP,9__M_Left_index_finger.BMP,1
369,9__M_Left_ring_finger.BMP,9__M_Right_index_finger.BMP,1
370,9__M_Right_ring_finger.BMP,9__M_Left_thumb_finger.BMP,1
371,9__M_Right_ring_finger.BMP,9__M_Right_thumb_finger.BMP,1
